"","date","location","partial_vax","full_vax","dem","category"
"1",2020-12-14,33,32590,0,"White","race/ethnicity"
"2",2020-12-21,33,102999,0,"White","race/ethnicity"
"3",2020-12-28,33,194543,1,"White","race/ethnicity"
"4",2021-01-04,33,353859,36331,"White","race/ethnicity"
"5",2021-01-11,33,643137,91124,"White","race/ethnicity"
"6",2021-01-18,33,1103509,145780,"White","race/ethnicity"
"7",2021-01-25,33,1418837,275012,"White","race/ethnicity"
"8",2021-02-01,33,1651053,503068,"White","race/ethnicity"
"9",2021-02-08,33,1911577,867832,"White","race/ethnicity"
"10",2021-02-15,33,2032397,1188284,"White","race/ethnicity"
"11",2021-02-22,33,2413303,1452368,"White","race/ethnicity"
"12",2021-03-01,33,2875283,1674982,"White","race/ethnicity"
"13",2021-03-08,33,3425253,2037302,"White","race/ethnicity"
"14",2021-03-15,33,3914699,2284582,"White","race/ethnicity"
"15",2021-03-22,33,4389839,2672152,"White","race/ethnicity"
"16",2021-03-29,33,4774001,3124252,"White","race/ethnicity"
"17",2021-04-05,33,5222313,3736454,"White","race/ethnicity"
"18",2020-12-14,33,3002,0,"Black","race/ethnicity"
"19",2020-12-21,33,10108,0,"Black","race/ethnicity"
"20",2020-12-28,33,23532,0,"Black","race/ethnicity"
"21",2021-01-04,33,48324,3306,"Black","race/ethnicity"
"22",2021-01-11,33,87608,9225,"Black","race/ethnicity"
"23",2021-01-18,33,158495,16402,"Black","race/ethnicity"
"24",2021-01-25,33,217085,34984,"Black","race/ethnicity"
"25",2021-02-01,33,291735,64989,"Black","race/ethnicity"
"26",2021-02-08,33,366105,116945,"Black","race/ethnicity"
"27",2021-02-15,33,403974,168679,"Black","race/ethnicity"
"28",2021-02-22,33,498949,230780,"Black","race/ethnicity"
"29",2021-03-01,33,609778,296927,"Black","race/ethnicity"
"30",2021-03-08,33,745468,396295,"Black","race/ethnicity"
"31",2021-03-15,33,873489,463746,"Black","race/ethnicity"
"32",2021-03-22,33,994114,561939,"Black","race/ethnicity"
"33",2021-03-29,33,1096038,667475,"Black","race/ethnicity"
"34",2021-04-05,33,1222233,818860,"Black","race/ethnicity"
"35",2020-12-14,33,2077,0,"Other","race/ethnicity"
"36",2020-12-21,33,5686,0,"Other","race/ethnicity"
"37",2020-12-28,33,10936,0,"Other","race/ethnicity"
"38",2021-01-04,33,24186,2330,"Other","race/ethnicity"
"39",2021-01-11,33,51423,5501,"Other","race/ethnicity"
"40",2021-01-18,33,86232,8677,"Other","race/ethnicity"
"41",2021-01-25,33,108152,15691,"Other","race/ethnicity"
"42",2021-02-01,33,127645,30999,"Other","race/ethnicity"
"43",2021-02-08,33,149522,65348,"Other","race/ethnicity"
"44",2021-02-15,33,161261,91434,"Other","race/ethnicity"
"45",2021-02-22,33,183292,111406,"Other","race/ethnicity"
"46",2021-03-01,33,215211,130325,"Other","race/ethnicity"
"47",2021-03-08,33,265798,160319,"Other","race/ethnicity"
"48",2021-03-15,33,317389,178834,"Other","race/ethnicity"
"49",2021-03-22,33,372309,203995,"Other","race/ethnicity"
"50",2021-03-29,33,416969,237851,"Other","race/ethnicity"
"51",2021-04-05,33,471025,299704,"Other","race/ethnicity"
"52",2020-12-14,33,2621,0,"Asian","race/ethnicity"
"53",2020-12-21,33,7583,0,"Asian","race/ethnicity"
"54",2020-12-28,33,11850,0,"Asian","race/ethnicity"
"55",2021-01-04,33,16690,2884,"Asian","race/ethnicity"
"56",2021-01-11,33,23243,7232,"Asian","race/ethnicity"
"57",2021-01-18,33,33441,10537,"Asian","race/ethnicity"
"58",2021-01-25,33,42891,15138,"Asian","race/ethnicity"
"59",2021-02-01,33,49678,20756,"Asian","race/ethnicity"
"60",2021-02-08,33,58615,29595,"Asian","race/ethnicity"
"61",2021-02-15,33,63855,36624,"Asian","race/ethnicity"
"62",2021-02-22,33,75019,44974,"Asian","race/ethnicity"
"63",2021-03-01,33,96105,52465,"Asian","race/ethnicity"
"64",2021-03-08,33,132606,67574,"Asian","race/ethnicity"
"65",2021-03-15,33,169898,76894,"Asian","race/ethnicity"
"66",2021-03-22,33,210987,91637,"Asian","race/ethnicity"
"67",2021-03-29,33,251067,117911,"Asian","race/ethnicity"
"68",2021-04-05,33,300009,163789,"Asian","race/ethnicity"
"69",2020-12-14,33,718,0,"Uknown","race/ethnicity"
"70",2020-12-21,33,1894,0,"Uknown","race/ethnicity"
"71",2020-12-28,33,25295,1,"Uknown","race/ethnicity"
"72",2021-01-04,33,53601,977,"Uknown","race/ethnicity"
"73",2021-01-11,33,74317,2070,"Uknown","race/ethnicity"
"74",2021-01-18,33,87935,3416,"Uknown","race/ethnicity"
"75",2021-01-25,33,99171,24535,"Uknown","race/ethnicity"
"76",2021-02-01,33,111287,50168,"Uknown","race/ethnicity"
"77",2021-02-08,33,119007,66918,"Uknown","race/ethnicity"
"78",2021-02-15,33,122857,76101,"Uknown","race/ethnicity"
"79",2021-02-22,33,137625,85072,"Uknown","race/ethnicity"
"80",2021-03-01,33,156363,96283,"Uknown","race/ethnicity"
"81",2021-03-08,33,185215,111868,"Uknown","race/ethnicity"
"82",2021-03-15,33,210813,121644,"Uknown","race/ethnicity"
"83",2021-03-22,33,233459,137113,"Uknown","race/ethnicity"
