"GEOID","percent","pop_size","race_ethnicity"
6013313102,0.342,1626,"latino"
6013313104,0.435,1257,"latino"
6013313105,0.387,2118,"latino"
6013313106,0.291,2137,"latino"
6013313107,0.404,1191,"latino"
6013313203,0.455,1589,"latino"
6013313204,0.44,2587,"latino"
6013313205,0.598,1184,"latino"
6013313206,0.6,3898,"latino"
6013314102,0.529,3596,"latino"
6013314103,0.607,3460,"latino"
6013314105,0.648,3017,"latino"
6013314106,0.573,2383,"latino"
6013314200,0.807,5991,"latino"
6013315000,0.313,1092,"latino"
6013316000,0.194,206,"latino"
6013317000,0.039,71,"latino"
6013318000,0.151,538,"latino"
6013319001,0.271,1183,"latino"
6013319002,0.266,997,"latino"
6013320001,0.285,920,"latino"
6013320003,0.097,293,"latino"
6013320004,0.166,1077,"latino"
6013321101,0.229,1543,"latino"
6013321102,0.106,653,"latino"
6013321103,0.095,441,"latino"
6013321200,0.191,1052,"latino"
6013322000,0.181,1227,"latino"
6013323000,0.198,897,"latino"
6013324002,0.114,566,"latino"
6013324003,0.058,191,"latino"
6013324004,0.162,400,"latino"
6013325000,0.2,1261,"latino"
6013326000,0.056,207,"latino"
6013327001,0.421,1493,"latino"
6013327002,0.326,1184,"latino"
6013328000,0.214,453,"latino"
6013329000,0.388,2511,"latino"
6013330000,0.296,1697,"latino"
6013331000,0.202,1577,"latino"
6013332000,0.272,2286,"latino"
6013333101,0.172,691,"latino"
6013333102,0.135,559,"latino"
6029003500,0.301,2465,"latino"
6029003600,0.428,1747,"latino"
6029003806,0.305,1646,"latino"
6029003807,0.287,1063,"latino"
6029003808,0.325,1500,"latino"
6029003810,0.177,441,"latino"
6029003811,0.252,594,"latino"
6029003812,0.333,1627,"latino"
6029003814,0.303,2071,"latino"
6029003815,0.371,2307,"latino"
6029003816,0.474,1884,"latino"
6029003817,0.331,1227,"latino"
6029003818,0.266,1450,"latino"
6029003819,0.177,818,"latino"
6029003820,0.432,1180,"latino"
6029003821,0.28,1237,"latino"
6029003822,0.309,928,"latino"
6029003823,0.187,777,"latino"
6029003824,0.416,1103,"latino"
6029003825,0.275,792,"latino"
6029003826,0.156,425,"latino"
6029003827,0.17,402,"latino"
6029003900,0.479,1547,"latino"
6029004001,0.845,3868,"latino"
6029004002,0.87,3544,"latino"
6029004101,0.781,4728,"latino"
6029004102,0.936,4711,"latino"
6029004302,0.56,3063,"latino"
6029004303,0.923,4875,"latino"
6029004304,0.887,2255,"latino"
6029004305,0.891,1611,"latino"
6029004402,0.944,4680,"latino"
6029004403,0.873,2556,"latino"
6029004404,0.88,3949,"latino"
6029004500,0.927,2655,"latino"
6029004601,0.502,2209,"latino"
6029004603,0.575,1825,"latino"
6029004605,0.672,2153,"latino"
6029004606,0.642,1647,"latino"
6029004607,0.939,5669,"latino"
6029004702,0.963,3525,"latino"
6029004703,0.926,4750,"latino"
6029004704,0.888,5248,"latino"
6029004801,0.918,3889,"latino"
6029004802,0.955,5843,"latino"
6029004901,0.794,5040,"latino"
6037199700,0.68,1999,"latino"
6037199801,0.691,2584,"latino"
6037199802,0.439,969,"latino"
6037199900,0.82,2083,"latino"
6037201110,0.709,1653,"latino"
6037201120,0.787,3215,"latino"
6037201200,0.788,2199,"latino"
6037201301,0.793,2894,"latino"
6037201302,0.203,788,"latino"
6037201401,0.779,3473,"latino"
6037201402,0.761,3397,"latino"
6037201501,0.814,4363,"latino"
6037201503,0.877,2792,"latino"
6037201504,0.762,1570,"latino"
6037201601,0.746,1791,"latino"
6037201602,0.846,2484,"latino"
6037201700,0.595,2992,"latino"
6037203100,0.944,4320,"latino"
6037203200,0.943,5035,"latino"
6037203300,0.769,1433,"latino"
6037203500,0.726,2213,"latino"
6037203601,0.996,2683,"latino"
6037203602,0.923,1702,"latino"
6037203710,0.98,3446,"latino"
6037203720,0.983,3816,"latino"
6037203800,0.974,4516,"latino"
6037203900,0.957,3044,"latino"
6037204110,0.954,3217,"latino"
6037204120,0.924,2438,"latino"
6037204200,0.966,3341,"latino"
6037204300,0.959,5137,"latino"
6037204410,0.96,2528,"latino"
6037204420,0.903,2788,"latino"
6037204600,0.915,3744,"latino"
6037204700,0.965,5041,"latino"
6037204810,0.958,4739,"latino"
6037204820,0.929,2083,"latino"
6037204910,0.954,3017,"latino"
6037204920,0.98,2484,"latino"
6037205110,0.958,3332,"latino"
6037205120,0.978,3561,"latino"
6037206010,0.548,2117,"latino"
6037206020,0.421,4468,"latino"
6037206050,0.838,1839,"latino"
6037402705,0.773,2664,"latino"
6037402706,0.775,2931,"latino"
6037402801,0.918,4515,"latino"
6037402803,0.923,3269,"latino"
6037402804,0.853,3742,"latino"
6037402902,0.719,5236,"latino"
6037402903,0.792,3063,"latino"
6037402904,0.824,3027,"latino"
6037403000,0.811,5904,"latino"
6037403305,0.14,310,"latino"
6037403316,0.15,1067,"latino"
6037403317,0.358,1872,"latino"
6037403318,0.303,1782,"latino"
6037403319,0.225,961,"latino"
6037403320,0.138,732,"latino"
6037403321,0.245,1325,"latino"
6037403323,0.118,652,"latino"
6037403324,0.191,1360,"latino"
6037403325,0.178,908,"latino"
6037403326,0.32,751,"latino"
6037403327,0.223,534,"latino"
6037403328,0.236,1355,"latino"
6037403401,0.217,1062,"latino"
6037403402,0.249,852,"latino"
6037403403,0.184,953,"latino"
6037403404,0.144,329,"latino"
6037403407,0.104,229,"latino"
6037403408,0.148,940,"latino"
6037403409,0.268,1153,"latino"
6037403500,0.35,531,"latino"
6037403601,0.626,4731,"latino"
6037403702,0.48,2089,"latino"
6037403703,0.371,1768,"latino"
6037403721,0.538,2921,"latino"
6037403722,0.639,3552,"latino"
6037403801,0.57,3390,"latino"
6037403802,0.538,3594,"latino"
6037403901,0.466,1377,"latino"
6037403902,0.444,2339,"latino"
6037404000,0.658,3001,"latino"
6037404100,0.835,5073,"latino"
6037404201,0.666,2225,"latino"
6037404203,0.581,2551,"latino"
6037554600,0.441,1871,"latino"
6037554700,0.747,3138,"latino"
6037554801,0.728,1983,"latino"
6037554802,0.218,1302,"latino"
6037554900,0.332,2554,"latino"
6037555001,0.431,2301,"latino"
6037555002,0.423,1647,"latino"
6037555105,0.475,2823,"latino"
6037555106,0.6,1729,"latino"
6037555107,0.363,2212,"latino"
6037555202,0.247,946,"latino"
6037555211,0.885,4945,"latino"
6037555212,0.745,4252,"latino"
6037555300,0.605,3034,"latino"
6037570001,0.315,1534,"latino"
6037570002,0.285,741,"latino"
6037570003,0.411,1809,"latino"
6037570100,0.361,1185,"latino"
6037570202,0.638,4180,"latino"
6037570203,0.747,3311,"latino"
6037570204,0.566,2593,"latino"
6037570303,0.587,2686,"latino"
6037570304,0.632,3140,"latino"
6037570305,0.751,3126,"latino"
6037570306,0.498,1459,"latino"
6037570402,0.503,1797,"latino"
6037570403,0.824,3392,"latino"
6037570404,0.683,2664,"latino"
6037570502,0.556,3480,"latino"
6037570503,0.652,2687,"latino"
6037570504,0.673,2567,"latino"
6037570601,0.647,4039,"latino"
6037570602,0.464,2551,"latino"
6037570603,0.367,1883,"latino"
6037570701,0.328,2580,"latino"
6037570703,0.333,973,"latino"
6037570800,0.287,1628,"latino"
6037554522,0.159,819,"latino"
6037570901,0.319,1882,"latino"
6037570902,0.272,951,"latino"
6037571000,0.263,1492,"latino"
6037571101,0.33,1666,"latino"
6037571102,0.206,726,"latino"
6045011200,0.341,1143,"latino"
6045011300,0.42,2661,"latino"
6045011400,0.213,1020,"latino"
6045011501,0.219,852,"latino"
6045011502,0.505,1606,"latino"
6045011600,0.477,2726,"latino"
6045011700,0.185,827,"latino"
6045011800,0.317,598,"latino"
6045990100,NA,NA,"latino"
6047000201,0.451,1499,"latino"
6047000202,0.615,1271,"latino"
6047000204,0.768,3504,"latino"
6047000205,0.77,3966,"latino"
6047000301,0.714,3868,"latino"
6047000303,0.491,1193,"latino"
6047000305,0.697,4332,"latino"
6047000306,0.84,3357,"latino"
6047000401,0.54,842,"latino"
6047000403,0.414,1776,"latino"
6047000404,0.395,2007,"latino"
6047000503,0.402,1241,"latino"
6047000504,0.746,4789,"latino"
6047000505,0.712,4965,"latino"
6047000601,0.498,2624,"latino"
6047000602,0.677,2994,"latino"
6047000603,0.539,3146,"latino"
6047000701,0.66,2387,"latino"
6047000702,0.312,1629,"latino"
6047000801,0.51,3075,"latino"
6047000802,0.514,2281,"latino"
6047000901,0.591,2250,"latino"
6047000903,0.263,1260,"latino"
6047000904,0.463,2276,"latino"
6047001003,0.552,2489,"latino"
6047001004,0.501,1927,"latino"
6047001005,0.574,1403,"latino"
6047001006,0.39,1867,"latino"
6047001007,0.332,1251,"latino"
6047001008,0.508,3441,"latino"
6047001101,0.404,2511,"latino"
6047001200,0.494,2640,"latino"
6047001301,0.579,1695,"latino"
6047001302,0.711,2220,"latino"
6047001401,0.594,2178,"latino"
6047001402,0.466,2109,"latino"
6059088602,0.386,1726,"latino"
6059088701,0.291,1785,"latino"
6059088702,0.29,1740,"latino"
6059088801,0.206,1577,"latino"
6059088802,0.302,1632,"latino"
6059088901,0.131,881,"latino"
6059088902,0.335,1857,"latino"
6059088903,0.344,2973,"latino"
6059088904,0.065,318,"latino"
6059088905,0.08,395,"latino"
6059089001,0.352,2141,"latino"
6059089003,0.553,2459,"latino"
6059089004,0.433,2822,"latino"
6059089102,0.548,3548,"latino"
6059089104,0.766,4218,"latino"
6059089105,0.891,5621,"latino"
6059089106,0.766,3292,"latino"
6059089107,0.453,2717,"latino"
6059099202,0.513,3715,"latino"
6059099203,0.232,1250,"latino"
6059099204,0.14,723,"latino"
6059099212,0.276,1549,"latino"
6059099214,0.131,468,"latino"
6059099215,0.214,1197,"latino"
6059099216,0.239,1098,"latino"
6059099217,0.049,123,"latino"
6059099220,0.088,486,"latino"
6059099222,0.124,678,"latino"
6059099223,0.155,858,"latino"
6059099224,0.096,306,"latino"
6059099225,0.078,316,"latino"
6059099226,0.112,423,"latino"
6059099227,0.335,1980,"latino"
6059099229,0.168,1007,"latino"
6059099230,0.129,572,"latino"
6059099231,0.134,676,"latino"
6059099232,0.096,528,"latino"
6059099233,0.152,504,"latino"
6059099234,0.179,779,"latino"
6059099235,0.185,1037,"latino"
6059099237,0.136,430,"latino"
6059099238,0.109,450,"latino"
6059099239,0.076,286,"latino"
6059099240,0.181,968,"latino"
6059099241,0.213,824,"latino"
6065048200,0.532,2517,"latino"
6065048300,0.565,3655,"latino"
6065048700,0.639,2980,"latino"
6065048800,0.627,3020,"latino"
6065048901,0.68,2904,"latino"
6065048902,0.68,5041,"latino"
6065049001,0.535,3822,"latino"
6065049002,0.64,1872,"latino"
6065049101,0.445,898,"latino"
6065049102,0.248,790,"latino"
6065049400,0.519,1541,"latino"
6065049501,0.945,3680,"latino"
6065049502,0.944,2995,"latino"
6065049600,0.278,1905,"latino"
6065049701,0.306,962,"latino"
6065049702,0.217,1254,"latino"
6065049800,0.4,1752,"latino"
6065050301,0.144,950,"latino"
6065050302,0.273,1724,"latino"
6065050401,0.48,2644,"latino"
6065050402,0.345,1777,"latino"
6065050501,0.4,2305,"latino"
6065050502,0.188,587,"latino"
6065050503,0.35,2004,"latino"
6065050600,0.324,2544,"latino"
6065050701,0.307,2604,"latino"
6065050702,0.288,1320,"latino"
6065050901,0.451,890,"latino"
6065050902,0.263,643,"latino"
6065051100,0.495,3499,"latino"
6065051200,0.402,2149,"latino"
6065051301,0.485,2519,"latino"
6065051302,0.374,2094,"latino"
6065051401,0.057,175,"latino"
6065051402,0.032,101,"latino"
6065940100,0.194,36,"latino"
6065940400,0.944,5757,"latino"
6065940500,0.069,152,"latino"
6065940600,0.158,549,"latino"
6065940700,0.203,581,"latino"
6065940800,0.11,304,"latino"
6065940900,0.093,190,"latino"
6065941001,0.2,371,"latino"
6065941002,0.09,201,"latino"
6071007412,0.551,3281,"latino"
6071007603,0.645,3534,"latino"
6071007604,0.487,2007,"latino"
6071007605,0.618,2429,"latino"
6071007606,0.807,2946,"latino"
6071007800,0.212,1180,"latino"
6071007903,0.331,1512,"latino"
6071007904,0.359,2634,"latino"
6071007905,0.474,1795,"latino"
6071007906,0.241,840,"latino"
6071008001,0.491,3797,"latino"
6071008003,0.658,2773,"latino"
6071008004,0.705,2225,"latino"
6071008100,0.444,1395,"latino"
6071008201,0.343,1170,"latino"
6071008202,0.159,260,"latino"
6071008301,0.275,1941,"latino"
6071008302,0.145,433,"latino"
6071008402,0.286,1700,"latino"
6071008403,0.271,1706,"latino"
6071008404,0.454,1678,"latino"
6071008405,0.422,2471,"latino"
6071008406,0.432,2367,"latino"
6071008501,0.198,718,"latino"
6071008502,0.126,609,"latino"
6071008601,0.421,2277,"latino"
6071008602,0.386,1863,"latino"
6071008705,0.416,2101,"latino"
6071008708,0.283,1055,"latino"
6071008709,0.383,1648,"latino"
6071008710,0.547,2563,"latino"
6071008711,0.184,538,"latino"
6071008712,0.159,759,"latino"
6071008713,0.228,851,"latino"
6071008714,0.345,1450,"latino"
6071008715,0.34,2711,"latino"
6071008716,0.348,2189,"latino"
6071008800,0.463,3103,"latino"
6071008901,0.204,387,"latino"
6071009109,0.234,1647,"latino"
6071009119,0.447,3329,"latino"
6071009120,0.362,1705,"latino"
6071009121,0.239,701,"latino"
6073017064,0.013,110,"latino"
6073017065,0.059,568,"latino"
6073017066,0.035,172,"latino"
6073017067,0.104,275,"latino"
6073017068,0.099,484,"latino"
6073017069,0.123,295,"latino"
6073017070,0.046,264,"latino"
6073017071,0.105,658,"latino"
6073017104,0.155,582,"latino"
6073017106,0.106,494,"latino"
6073017107,0.096,296,"latino"
6073017108,0.107,505,"latino"
6073017109,0.046,293,"latino"
6073017111,0.246,1155,"latino"
6073017112,0.085,196,"latino"
6073017113,0.269,1516,"latino"
6073017201,0.077,175,"latino"
6073017202,0.1,171,"latino"
6073017303,0.061,211,"latino"
6073017305,0.039,124,"latino"
6073017306,0.066,145,"latino"
6073017307,0.186,439,"latino"
6073017308,0.382,1062,"latino"
6073017403,0.105,469,"latino"
6073017405,0.39,1709,"latino"
6073017406,0.09,277,"latino"
6073017407,0.12,363,"latino"
6073017408,0.177,393,"latino"
6073017501,0.122,348,"latino"
6073017502,0.286,975,"latino"
6073017601,0.073,389,"latino"
6073017603,0.255,726,"latino"
6073017605,0.253,942,"latino"
6073017606,0.084,287,"latino"
6073017701,0.147,837,"latino"
6073017702,0.119,431,"latino"
6073017801,0.2,1439,"latino"
6073017808,0.085,498,"latino"
6073017809,0.156,376,"latino"
6073017810,0.051,244,"latino"
