"","GEOID","percent","pop_size","demographic","percent_final"
"1","6013313102",0.342,1625.868,"Latino",0.342
"2","6013313104",0.435,1256.715,"Latino",0.435
"3","6013313105",0.387,2118.051,"Latino",0.387
"4","6013313106",0.291,2137.104,"Latino",0.291
"5","6013313107",0.404,1190.992,"Latino",0.404
"6","6013313203",0.455,1589.315,"Latino",0.455
"7","6013313204",0.44,2587.2,"Latino",0.44
"8","6013313205",0.598,1184.04,"Latino",0.598
"9","6013313206",0.6,3897.6,"Latino",0.6
"10","6013314102",0.529,3596.142,"Latino",0.529
"11","6013314103",0.607,3459.9,"Latino",0.607
"12","6013314105",0.648,3017.088,"Latino",0.648
"13","6013314106",0.573,2383.107,"Latino",0.573
"14","6013314200",0.807,5991.168,"Latino",0.807
"15","6013315000",0.313,1092.37,"Latino",0.313
"16","6013316000",0.194,206.028,"Latino",0.194
"17","6013317000",0.039,70.629,"Latino",0.039
"18","6013318000",0.151,538.013,"Latino",0.151
"19","6013319001",0.271,1182.644,"Latino",0.271
"20","6013319002",0.266,996.702,"Latino",0.266
"21","6013320001",0.285,919.695,"Latino",0.285
"22","6013320003",0.097,292.552,"Latino",0.097
"23","6013320004",0.166,1076.842,"Latino",0.166
"24","6013321101",0.229,1542.773,"Latino",0.229
"25","6013321102",0.106,653.49,"Latino",0.106
"26","6013321103",0.095,440.8,"Latino",0.095
"27","6013321200",0.191,1052.41,"Latino",0.191
"28","6013322000",0.181,1227.361,"Latino",0.181
"29","6013323000",0.198,897.336,"Latino",0.198
"30","6013324002",0.114,566.466,"Latino",0.114
"31","6013324003",0.058,190.704,"Latino",0.058
"32","6013324004",0.162,400.14,"Latino",0.162
"33","6013325000",0.2,1261.4,"Latino",0.2
"34","6013326000",0.056,206.92,"Latino",0.056
"35","6013327001",0.421,1493.287,"Latino",0.421
"36","6013327002",0.326,1183.706,"Latino",0.326
"37","6013328000",0.214,453.252,"Latino",0.214
"38","6013329000",0.388,2510.748,"Latino",0.388
"39","6013330000",0.296,1696.672,"Latino",0.296
"40","6013331000",0.202,1576.61,"Latino",0.202
"41","6013332000",0.272,2286.16,"Latino",0.272
"42","6013333101",0.172,691.268,"Latino",0.172
"43","6013333102",0.135,559.305,"Latino",0.135
"44","6029003500",0.301,2464.889,"Latino",0.301
"45","6029003600",0.428,1747.096,"Latino",0.428
"46","6029003806",0.305,1646.39,"Latino",0.305
"47","6029003807",0.287,1063.048,"Latino",0.287
"48","6029003808",0.325,1499.875,"Latino",0.325
"49","6029003810",0.177,440.907,"Latino",0.177
"50","6029003811",0.252,594.216,"Latino",0.252
"51","6029003812",0.333,1627.371,"Latino",0.333
"52","6029003814",0.303,2070.702,"Latino",0.303
"53","6029003815",0.371,2307.249,"Latino",0.371
"54","6029003816",0.474,1883.676,"Latino",0.474
"55","6029003817",0.331,1227.017,"Latino",0.331
"56","6029003818",0.266,1450.232,"Latino",0.266
"57","6029003819",0.177,817.563,"Latino",0.177
"58","6029003820",0.432,1180.224,"Latino",0.432
"59","6029003821",0.28,1237.04,"Latino",0.28
"60","6029003822",0.309,928.236,"Latino",0.309
"61","6029003823",0.187,776.798,"Latino",0.187
"62","6029003824",0.416,1103.232,"Latino",0.416
"63","6029003825",0.275,791.725,"Latino",0.275
"64","6029003826",0.156,424.788,"Latino",0.156
"65","6029003827",0.17,402.22,"Latino",0.17
"66","6029003900",0.479,1547.17,"Latino",0.479
"67","6029004001",0.845,3868.41,"Latino",0.845
"68","6029004002",0.87,3544.38,"Latino",0.87
"69","6029004101",0.781,4728.174,"Latino",0.781
"70","6029004102",0.936,4710.888,"Latino",0.936
"71","6029004302",0.56,3062.64,"Latino",0.56
"72","6029004303",0.923,4875.286,"Latino",0.923
"73","6029004304",0.887,2254.754,"Latino",0.887
"74","6029004305",0.891,1610.928,"Latino",0.891
"75","6029004402",0.944,4680.352,"Latino",0.944
"76","6029004403",0.873,2556.144,"Latino",0.873
"77","6029004404",0.88,3949.44,"Latino",0.88
"78","6029004500",0.927,2654.928,"Latino",0.927
"79","6029004601",0.502,2209.302,"Latino",0.502
"80","6029004603",0.575,1825.05,"Latino",0.575
"81","6029004605",0.672,2153.088,"Latino",0.672
"82","6029004606",0.642,1647.372,"Latino",0.642
"83","6029004607",0.939,5668.743,"Latino",0.939
"84","6029004702",0.963,3524.58,"Latino",0.963
"85","6029004703",0.926,4750.38,"Latino",0.926
"86","6029004704",0.888,5248.08,"Latino",0.888
"87","6029004801",0.918,3888.648,"Latino",0.918
"88","6029004802",0.955,5842.69,"Latino",0.955
"89","6029004901",0.794,5040.312,"Latino",0.794
"90","6037199700",0.68,1999.2,"Latino",0.68
"91","6037199801",0.691,2584.34,"Latino",0.691
"92","6037199802",0.439,968.873,"Latino",0.439
"93","6037199900",0.82,2082.8,"Latino",0.82
"94","6037201110",0.709,1652.679,"Latino",0.709
"95","6037201120",0.787,3214.895,"Latino",0.787
