"","GEOID","demographic","children_5_17"
"1","06001","Asian","69705"
"2","06001","Black","22306"
"3","06001","Latino","86181"
"4","06001","Other","30670"
"5","06001","White","41570"
"6","06003","Asian","NA"
"7","06003","Black","NA"
"8","06003","Latino","NA"
"9","06003","Other","NA"
"10","06003","White","NA"
"11","06005","Asian","19"
"12","06005","Black","19"
"13","06005","Latino","1083"
"14","06005","Other","455"
"15","06005","White","3077"
"16","06007","Asian","1966"
"17","06007","Black","655"
"18","06007","Latino","8423"
"19","06007","Other","3048"
"20","06007","White","18157"
"21","06009","Asian","35"
"22","06009","Black","41"
"23","06009","Latino","1284"
"24","06009","Other","485"
"25","06009","White","3964"
"26","06011","Asian","49"
"27","06011","Black","36"
"28","06011","Latino","3572"
"29","06011","Other","103"
"30","06011","White","697"
"31","06013","Asian","26455"
"32","06013","Black","16584"
"33","06013","Latino","73441"
"34","06013","Other","23493"
"35","06013","White","54489"
"36","06015","Asian","181"
"37","06015","Black","30"
"38","06015","Latino","967"
"39","06015","Other","971"
"40","06015","White","2171"
"41","06017","Asian","1151"
"42","06017","Black","281"
"43","06017","Latino","5698"
"44","06017","Other","2190"
"45","06017","White","18527"
"46","06019","Asian","19973"
"47","06019","Black","9881"
"48","06019","Latino","138339"
"49","06019","Other","7989"
"50","06019","White","33428"
"51","06021","Asian","122"
"52","06021","Black","29"
"53","06021","Latino","3225"
"54","06021","Other","244"
"55","06021","White","2138"
"56","06023","Asian","630"
"57","06023","Black","210"
"58","06023","Latino","3686"
"59","06023","Other","3954"
"60","06023","White","10410"
"61","06025","Asian","152"
"62","06025","Black","266"
"63","06025","Latino","35420"
"64","06025","Other","571"
"65","06025","White","1560"
"66","06027","Asian","23"
"67","06027","Black","207"
"68","06027","Latino","1781"
"69","06027","Other","516"
"70","06027","White","720"
"71","06029","Asian","4843"
"72","06029","Black","10266"
"73","06029","Latino","128233"
"74","06029","Other","7748"
"75","06029","White","41453"
"76","06031","Asian","296"
"77","06031","Black","976"
"78","06031","Latino","21096"
"79","06031","Other","1805"
"80","06031","White","5355"
"81","06033","Asian","60"
"82","06033","Black","141"
"83","06033","Latino","4050"
"84","06033","Other","1088"
"85","06033","White","4655"
"86","06035","Asian","31"
"87","06035","Black","43"
"88","06035","Latino","775"
"89","06035","Other","484"
"90","06035","White","2578"
"91","06037","Asian","127142"
"92","06037","Black","114267"
"93","06037","Latino","1057371"
"94","06037","Other","86907"
"95","06037","White","215659"
"96","06039","Asian","461"
"97","06039","Black","369"
"98","06039","Latino","23222"
"99","06039","Other","891"
"100","06039","White","5590"
"101","06041","Asian","1825"
"102","06041","Black","674"
"103","06041","Latino","12895"
"104","06041","Other","2976"
"105","06041","White","20949"
"106","06043","Asian","18"
"107","06043","Black","8"
"108","06043","Latino","447"
"109","06043","Other","230"
"110","06043","White","1315"
"111","06045","Asian","113"
"112","06045","Black","85"
"113","06045","Latino","6512"
"114","06045","Other","1575"
"115","06045","White","5476"
"116","06047","Asian","3267"
"117","06047","Black","1603"
"118","06047","Latino","46227"
"119","06047","Other","1664"
"120","06047","White","8506"
"121","06049","Asian","7"
"122","06049","Black","12"
"123","06049","Latino","507"
"124","06049","Other","129"
"125","06049","White","703"
"126","06051","Asian","17"
"127","06051","Black","19"
"128","06051","Latino","1114"
"129","06051","Other","61"
"130","06051","White","685"
"131","06053","Asian","1355"
"132","06053","Black","1016"
"133","06053","Latino","69099"
"134","06053","Other","3133"
"135","06053","White","9484"
"136","06055","Asian","499"
"137","06055","Black","431"
"138","06055","Latino","13079"
"139","06055","Other","2357"
"140","06055","White","6279"
"141","06057","Asian","136"
"142","06057","Black","163"
"143","06057","Latino","2932"
"144","06057","Other","991"
"145","06057","White","8851"
"146","06059","Asian","89785"
"147","06059","Black","6708"
"148","06059","Latino","255423"
"149","06059","Other","36636"
"150","06059","White","123841"
"151","06061","Asian","4596"
"152","06061","Black","1419"
"153","06061","Latino","14398"
"154","06061","Other","7233"
"155","06061","White","38934"
"156","06063","Asian","13"
"157","06063","Black","25"
"158","06063","Latino","433"
"159","06063","Other","296"
"160","06063","White","1716"
"161","06065","Asian","14847"
"162","06065","Black","26545"
"163","06065","Latino","293345"
"164","06065","Other","27445"
"165","06065","White","85034"
"166","06067","Asian","44183"
"167","06067","Black","29639"
"168","06067","Latino","89465"
"169","06067","Other","33755"
"170","06067","White","76017"
"171","06069","Asian","154"
"172","06069","Black","59"
"173","06069","Latino","9099"
"174","06069","Other","273"
"175","06069","White","2008"
"176","06071","Asian","16822"
"177","06071","Black","33643"
"178","06071","Latino","280921"
"179","06071","Other","19345"
"180","06071","White","67286"
"181","06073","Asian","33107"
"182","06073","Black","21727"
"183","06073","Latino","250890"
"184","06073","Other","56385"
"185","06073","White","150534"
"186","06075","Asian","24467"
"187","06075","Black","6303"
"188","06075","Latino","26458"
"189","06075","Other","9372"
"190","06075","White","12109"
"191","06077","Asian","19225"
"192","06077","Black","11566"
"193","06077","Latino","83776"
"194","06077","Other","14692"
"195","06077","White","25789"
"196","06079","Asian","559"
"197","06079","Black","298"
"198","06079","Latino","15608"
"199","06079","Other","2160"
"200","06079","White","18290"
"201","06081","Asian","19213"
"202","06081","Black","1496"
"203","06081","Latino","43717"
"204","06081","Other","20018"
"205","06081","White","29336"
"206","06083","Asian","1089"
"207","06083","Black","581"
"208","06083","Latino","51680"
"209","06083","Other","3049"
"210","06083","White","15533"
"211","06085","Asian","97916"
"212","06085","Black","5685"
"213","06085","Latino","121289"
"214","06085","Other","31902"
"215","06085","White","56223"
"216","06087","Asian","910"
"217","06087","Black","277"
"218","06087","Latino","22660"
"219","06087","Other","1898"
"220","06087","White","13248"
"221","06089","Asian","1019"
"222","06089","Black","349"
"223","06089","Latino","4805"
"224","06089","Other","3262"
"225","06089","White","19162"
"226","06091","Asian","3"
"227","06091","Black","3"
"228","06091","Latino","57"
"229","06091","Other","13"
"230","06091","White","248"
"231","06093","Asian","190"
"232","06093","Black","85"
"233","06093","Latino","1233"
"234","06093","Other","1177"
"235","06093","White","4122"
"236","06095","Asian","2915"
"237","06095","Black","9766"
"238","06095","Latino","29955"
"239","06095","Other","13119"
"240","06095","White","16544"
