"","GEOID","demographic","percent","pop_size"
"1","37001020100","Asian",0.015,63.36
"2","37001020100","Black",0.277,1170.048
"3","37001020100","Other",0.047,198.528
"4","37001020100","White",0.66,2787.84
"5","37001020200","Asian",0.034,143.072
"6","37001020200","Black",0.242,1018.336
"7","37001020200","Other",0.42,1767.36
"8","37001020200","White",0.303,1275.024
"9","37001020301","Asian",0,0
"10","37001020301","Black",0.294,1148.952
"11","37001020301","Other",0.374,1461.592
"12","37001020301","White",0.331,1293.548
"13","37001020302","Asian",0,0
"14","37001020302","Black",0.161,581.371
"15","37001020302","Other",0.632,2282.152
"16","37001020302","White",0.207,747.477
"17","37001020400","Asian",0,0
"18","37001020400","Black",0.584,3605.032
"19","37001020400","Other",0.222,1370.406
"20","37001020400","White",0.194,1197.562
"21","37001020501","Asian",0.018,69.48
"22","37001020501","Black",0.113,436.18
"23","37001020501","Other",0.107,413.02
"24","37001020501","White",0.762,2941.32
"25","37001020502","Asian",0.038,164.958
"26","37001020502","Black",0.476,2066.316
"27","37001020502","Other",0.232,1007.112
"28","37001020502","White",0.253,1098.273
"29","37001020601","Asian",0.014,45.276
"30","37001020601","Black",0.007,22.638
"31","37001020601","Other",0.068,219.912
"32","37001020601","White",0.911,2946.174
"33","37001020602","Asian",0.005,13.14
"34","37001020602","Black",0.035,91.98
"35","37001020602","Other",0.081,212.868
"36","37001020602","White",0.878,2307.384
"37","37001020701","Asian",0.003,16.833
"38","37001020701","Black",0.127,712.597
"39","37001020701","Other",0.116,650.876
"40","37001020701","White",0.753,4225.083
"41","37001020702","Asian",0.022,121
"42","37001020702","Black",0.293,1611.5
"43","37001020702","Other",0.117,643.5
"44","37001020702","White",0.569,3129.5
"45","37001020801","Asian",0.016,29.104
"46","37001020801","Black",0.131,238.289
"47","37001020801","Other",0.26,472.94
"48","37001020801","White",0.593,1078.667
"49","37001020802","Asian",0.027,159.543
"50","37001020802","Black",0.371,2192.239
"51","37001020802","Other",0.385,2274.965
"52","37001020802","White",0.217,1282.253
"53","37001020901","Asian",0.029,102.921
"54","37001020901","Black",0.11,390.39
"55","37001020901","Other",0.211,748.839
"56","37001020901","White",0.65,2306.85
"57","37001020902","Asian",0,0
"58","37001020902","Black",0.079,332.669
"59","37001020902","Other",0.138,581.118
"60","37001020902","White",0.784,3301.424
"61","37001021000","Asian",0,0
"62","37001021000","Black",0.366,1728.618
"63","37001021000","Other",0.32,1511.36
"64","37001021000","White",0.314,1483.022
"65","37001021101","Asian",0.001,3.267
"66","37001021101","Black",0.26,849.42
"67","37001021101","Other",0.132,431.244
