"","School_District","demographic","children_5_17","percent_final","type"
"1","A.C.E. Academy","Black",313,0.739952718676123,"charter"
"2","A.C.E. Academy","White",26,0.0614657210401891,"charter"
"3","A.C.E. Academy","Asian",4,0.00945626477541371,"charter"
"4","A.C.E. Academy","Other",80,0.189125295508274,"charter"
"5","Alamance-Burlington
Schools","Black",5125,0.225790818574324,"public"
"6","Alamance-Burlington
Schools","White",10088,0.444444444444444,"public"
"7","Alamance-Burlington
Schools","Asian",348,0.0153317472905102,"public"
"8","Alamance-Burlington
Schools","Other",7137,0.314432989690722,"public"
"9","Alexander County Schools","Black",192,0.0393039918116684,"public"
"10","Alexander County Schools","White",3914,0.801228249744115,"public"
"11","Alexander County Schools","Asian",76,0.0155578300921187,"public"
"12","Alexander County Schools","Other",703,0.143909928352098,"public"
"13","Alleghany County Schools","Black",10,0.00750187546886722,"public"
"14","Alleghany County Schools","White",971,0.728432108027007,"public"
"15","Alleghany County Schools","Asian",5,0.00375093773443361,"public"
"16","Alleghany County Schools","Other",347,0.260315078769692,"public"
"17","Alpha Academy","Black",552,0.647127784290739,"charter"
"18","Alpha Academy","White",121,0.141852286049238,"charter"
"19","Alpha Academy","Asian",5,0.00586166471277843,"charter"
"20","Alpha Academy","Other",175,0.205158264947245,"charter"
"21","American Renaissance School","Black",53,0.0968921389396709,"charter"
"22","American Renaissance School","White",409,0.747714808043876,"charter"
"23","American Renaissance School","Asian",7,0.0127970749542962,"charter"
"24","American Renaissance School","Other",78,0.142595978062157,"charter"
"25","Anderson Creek Club Charter School","Black",25,0.102040816326531,"charter"
"26","Anderson Creek Club Charter School","White",160,0.653061224489796,"charter"
"27","Anderson Creek Club Charter School","Asian",3,0.0122448979591837,"charter"
"28","Anderson Creek Club Charter School","Other",57,0.23265306122449,"charter"
"29","Anson County Schools","Black",1891,0.564309161444345,"public"
"30","Anson County Schools","White",1105,0.329752312742465,"public"
"31","Anson County Schools","Asian",62,0.0185019397194867,"public"
"32","Anson County Schools","Other",293,0.0874365860937034,"public"
"33","Arapahoe Charter School","Black",51,0.0901060070671378,"charter"
"34","Arapahoe Charter School","White",409,0.722614840989399,"charter"
"35","Arapahoe Charter School","Asian",0,0,"charter"
"36","Arapahoe Charter School","Other",106,0.187279151943463,"charter"
"37","Aristotle Preparatory Academy","Black",111,0.895161290322581,"charter"
"38","Aristotle Preparatory Academy","White",1,0.00806451612903226,"charter"
"39","Aristotle Preparatory Academy","Asian",0,0,"charter"
"40","Aristotle Preparatory Academy","Other",12,0.0967741935483871,"charter"
"41","ArtSpace Charter","Black",5,0.0124688279301746,"charter"
"42","ArtSpace Charter","White",339,0.845386533665835,"charter"
"43","ArtSpace Charter","Asian",3,0.00748129675810474,"charter"
"44","ArtSpace Charter","Other",54,0.134663341645885,"charter"
"45","Arts Based School","Black",99,0.191119691119691,"charter"
"46","Arts Based School","White",357,0.689189189189189,"charter"
"47","Arts Based School","Asian",6,0.0115830115830116,"charter"
"48","Arts Based School","Other",56,0.108108108108108,"charter"
"49","Ashe County Schools","Black",18,0.00603621730382294,"public"
"50","Ashe County Schools","White",2559,0.858148893360161,"public"
"51","Ashe County Schools","Asian",17,0.005700871898055,"public"
"52","Ashe County Schools","Other",388,0.130114017437961,"public"
"53","Asheboro City Schools","Black",627,0.136067708333333,"public"
"54","Asheboro City Schools","White",1518,0.329427083333333,"public"
"55","Asheboro City Schools","Asian",84,0.0182291666666667,"public"
"56","Asheboro City Schools","Other",2379,0.516276041666667,"public"
"57","Asheville City Schools","Black",899,0.203347658900701,"public"
"58","Asheville City Schools","White",2790,0.631078941415969,"public"
"59","Asheville City Schools","Asian",47,0.010631078941416,"public"
"60","Asheville City Schools","Other",685,0.154942320741914,"public"
"61","Avery County Schools","Black",6,0.00304878048780488,"public"
"62","Avery County Schools","White",1672,0.849593495934959,"public"
"63","Avery County Schools","Asian",18,0.00914634146341463,"public"
"64","Avery County Schools","Other",272,0.138211382113821,"public"
"65","Bear Grass Charter School","Black",5,0.0122850122850123,"charter"
"66","Bear Grass Charter School","White",387,0.950859950859951,"charter"
"67","Bear Grass Charter School","Asian",1,0.00245700245700246,"charter"
"68","Bear Grass Charter School","Other",14,0.0343980343980344,"charter"
"69","Beaufort County Schools","Black",2124,0.322159866525102,"public"
"70","Beaufort County Schools","White",3073,0.466100409525254,"public"
"71","Beaufort County Schools","Asian",17,0.00257849234036099,"public"
"72","Beaufort County Schools","Other",1379,0.209161231609283,"public"
"73","Bertie County Schools","Black",1765,0.807410795974382,"public"
"74","Bertie County Schools","White",310,0.141811527904849,"public"
"75","Bertie County Schools","Asian",9,0.00411710887465691,"public"
"76","Bertie County Schools","Other",102,0.0466605672461116,"public"
"77","Bethany Community Middle","Black",31,0.0853994490358127,"charter"
"78","Bethany Community Middle","White",297,0.818181818181818,"charter"
"79","Bethany Community Middle","Asian",2,0.00550964187327824,"charter"
