location,report_date,value,demographic,target
06,2020-04-18,2942,Asian,imputed inc case 
06,2020-04-25,982,Asian,imputed inc case 
06,2020-05-02,903,Asian,imputed inc case 
06,2020-05-09,857,Asian,imputed inc case 
06,2020-05-16,933,Asian,imputed inc case 
06,2020-05-23,829,Asian,imputed inc case 
06,2020-05-30,840,Asian,imputed inc case 
06,2020-06-06,798,Asian,imputed inc case 
06,2020-06-13,736,Asian,imputed inc case 
06,2020-06-20,929,Asian,imputed inc case 
06,2020-06-27,1416,Asian,imputed inc case 
06,2020-07-04,1961,Asian,imputed inc case 
06,2020-07-11,2342,Asian,imputed inc case 
06,2020-07-18,2411,Asian,imputed inc case 
06,2020-07-25,2677,Asian,imputed inc case 
06,2020-08-01,2345,Asian,imputed inc case 
06,2020-08-08,2255,Asian,imputed inc case 
06,2020-08-15,2937,Asian,imputed inc case 
06,2020-08-22,2110,Asian,imputed inc case 
06,2020-08-29,1943,Asian,imputed inc case 
06,2020-09-05,1761,Asian,imputed inc case 
06,2020-09-12,1449,Asian,imputed inc case 
06,2020-09-19,1394,Asian,imputed inc case 
06,2020-09-26,1307,Asian,imputed inc case 
06,2020-10-03,1359,Asian,imputed inc case 
06,2020-10-10,1214,Asian,imputed inc case 
06,2020-10-17,1100,Asian,imputed inc case 
06,2020-10-24,1613,Asian,imputed inc case 
06,2020-10-31,1508,Asian,imputed inc case 
06,2020-11-07,2130,Asian,imputed inc case 
06,2020-11-14,3022,Asian,imputed inc case 
06,2020-11-21,4728,Asian,imputed inc case 
06,2020-11-28,5758,Asian,imputed inc case 
06,2020-12-05,8848,Asian,imputed inc case 
06,2020-12-12,12574,Asian,imputed inc case 
06,2020-12-19,17822,Asian,imputed inc case 
06,2020-12-26,16372,Asian,imputed inc case 
06,2021-01-02,17434,Asian,imputed inc case 
06,2021-01-09,18584,Asian,imputed inc case 
06,2021-01-16,18616,Asian,imputed inc case 
06,2021-01-23,11606,Asian,imputed inc case 
06,2021-01-30,10684,Asian,imputed inc case 
06,2021-02-06,7442,Asian,imputed inc case 
06,2021-02-13,5490,Asian,imputed inc case 
06,2021-02-20,3799,Asian,imputed inc case 
