Index,County,Week Of,0-17,0-17,0-17,18-24,25-49,50-64,65-74,75+,Suppressed,Missing
1,Alamance,4/24/2023,0,0,0,0,0,0,0,0,,
2,Alamance,4/17/2023,2,0,0,1,1,0,0,0,,
3,Alamance,4/10/2023,5,2,1,2,4,0,1,0,,
4,Alamance,4/3/2023,2,1,0,1,1,0,0,0,,
5,Alamance,3/27/2023,8,2,1,1,5,0,0,0,,
6,Alamance,3/20/2023,9,0,1,3,0,0,0,0,,
7,Alamance,3/13/2023,2,1,1,2,0,1,0,0,,
8,Alamance,3/6/2023,11,7,2,0,7,0,0,0,,
9,Alamance,2/27/2023,5,4,1,1,1,1,0,0,,
10,Alamance,2/20/2023,7,3,4,2,3,2,0,0,,0
11,Alamance,2/13/2023,8,3,1,2,1,3,1,0,,
12,Alamance,2/6/2023,20,5,1,3,6,0,0,0,,
13,Alamance,1/30/2023,12,2,2,5,3,1,0,0,,
14,Alamance,1/23/2023,14,7,2,1,2,0,0,0,,0
15,Alamance,1/16/2023,8,6,2,3,2,0,1,0,,0
16,Alamance,1/9/2023,11,6,3,3,3,1,0,1,,2
17,Alamance,1/2/2023,9,8,5,2,4,3,0,0,,
18,Alamance,12/26/2022,13,2,3,5,5,0,0,0,,1
19,Alamance,12/19/2022,3,6,1,5,2,0,0,0,,
20,Alamance,12/12/2022,0,9,2,7,8,2,0,1,,0
21,Alamance,12/5/2022,11,9,1,1,9,3,1,0,,0
22,Alamance,11/28/2022,19,11,2,4,9,2,2,1,,0
23,Alamance,11/21/2022,10,6,0,5,4,3,0,0,,
24,Alamance,11/14/2022,14,8,2,3,6,3,1,0,,0
25,Alamance,11/7/2022,18,6,0,1,3,1,2,0,,0
26,Alamance,10/31/2022,29,9,2,4,6,0,0,0,,0
27,Alamance,10/24/2022,22,10,2,5,8,1,0,0,,
28,Alamance,10/17/2022,26,12,1,5,6,1,0,1,,0
29,Alamance,10/10/2022,22,15,4,5,8,2,0,0,,
30,Alamance,10/3/2022,22,16,3,5,8,2,0,0,,
31,Alamance,9/26/2022,14,9,6,5,8,3,0,0,,
32,Alamance,9/19/2022,21,15,4,5,10,3,3,0,,1
33,Alamance,9/12/2022,16,19,2,7,6,0,0,0,,
34,Alamance,9/5/2022,18,12,5,7,7,3,0,0,,
35,Alamance,8/29/2022,10,27,7,2,6,2,0,0,,
36,Alamance,8/22/2022,12,22,7,10,9,3,0,0,,0
37,Alamance,8/15/2022,11,26,8,4,9,4,3,1,,
38,Alamance,8/8/2022,5,14,5,7,18,4,1,1,,1
39,Alamance,8/1/2022,1,24,5,2,16,5,3,0,,
40,Alamance,7/25/2022,8,23,8,8,8,0,2,0,,
41,Alamance,7/18/2022,7,19,4,3,9,4,6,1,,0
42,Alamance,7/11/2022,0,14,1,10,8,0,4,0,,0
43,Alamance,7/4/2022,0,8,6,9,14,4,0,1,,
44,Alamance,6/27/2022,0,15,6,7,6,2,0,1,,
45,Alamance,6/20/2022,0,11,3,6,11,6,0,2,,
46,Alamance,6/13/2022,0,17,12,10,15,1,3,3,,
47,Alamance,6/6/2022,0,19,5,11,25,7,0,2,,
48,Alamance,5/30/2022,0,15,6,10,22,4,3,2,,
49,Alamance,5/23/2022,0,13,3,9,28,7,3,3,,
50,Alamance,5/16/2022,0,9,11,18,17,1,5,3,,
51,Alamance,5/9/2022,0,19,11,5,16,9,5,2,,
52,Alamance,5/2/2022,0,14,5,6,15,5,2,2,,
53,Alamance,4/25/2022,0,17,12,12,17,5,6,4,,
54,Alamance,4/18/2022,0,19,22,13,23,11,4,3,,
55,Alamance,4/11/2022,0,14,5,14,24,9,10,1,,0
56,Alamance,4/4/2022,0,26,15,9,24,10,2,2,,
57,Alamance,3/28/2022,0,21,17,12,43,15,1,5,,
58,Alamance,3/21/2022,0,30,31,20,47,13,6,3,,
59,Alamance,3/14/2022,0,42,27,13,36,9,6,6,,
60,Alamance,3/7/2022,0,51,30,21,56,16,4,3,,0
61,Alamance,2/28/2022,0,67,45,23,70,22,8,3,,
62,Alamance,2/21/2022,0,67,39,42,85,40,5,3,,
63,Alamance,2/14/2022,0,82,40,44,100,25,12,7,,
64,Alamance,2/7/2022,0,72,48,33,124,34,9,12,,0
65,Alamance,1/31/2022,0,152,87,47,143,57,8,6,,
66,Alamance,1/24/2022,0,152,83,47,127,48,9,8,,0
67,Alamance,1/17/2022,0,139,65,28,84,26,7,6,,0
68,Alamance,1/10/2022,0,124,75,34,71,38,10,5,,0
69,Alamance,1/3/2022,0,148,73,58,160,53,17,5,,0
70,Alamance,12/27/2021,0,138,77,40,124,56,10,5,,
71,Alamance,12/20/2021,0,113,49,37,102,43,12,9,,0
72,Alamance,12/13/2021,0,187,96,45,119,50,10,4,,1
73,Alamance,12/6/2021,0,454,178,38,170,68,21,9,,
74,Alamance,11/29/2021,0,544,237,51,168,87,20,15,,0
75,Alamance,11/22/2021,0,70,39,35,154,58,21,6,,
76,Alamance,11/15/2021,0,0,38,49,174,92,22,15,,1
77,Alamance,11/8/2021,0,0,38,48,168,84,17,12,,1
78,Alamance,11/1/2021,0,0,45,50,198,87,31,10,,
79,Alamance,10/25/2021,0,0,59,66,261,128,34,17,,
80,Alamance,10/18/2021,0,0,50,78,235,112,40,16,,
81,Alamance,10/11/2021,0,0,76,67,281,139,50,21,,
82,Alamance,10/4/2021,0,0,94,103,349,172,53,26,,
83,Alamance,9/27/2021,0,0,94,109,451,221,48,38,,
84,Alamance,9/20/2021,0,0,119,146,597,282,74,42,,
85,Alamance,9/13/2021,0,0,130,143,544,268,65,31,,
86,Alamance,9/6/2021,0,0,233,151,504,257,62,27,,
87,Alamance,8/30/2021,0,0,192,170,585,299,70,44,,
88,Alamance,8/23/2021,0,0,159,156,564,344,94,70,,
89,Alamance,8/16/2021,0,0,202,142,444,281,99,70,,
90,Alamance,8/9/2021,0,0,147,128,304,212,68,31,,
91,Alamance,8/2/2021,0,0,100,83,221,149,62,33,,
92,Alamance,7/26/2021,0,0,71,102,245,172,52,24,,
93,Alamance,7/19/2021,0,0,114,128,236,187,48,36,,
94,Alamance,7/12/2021,0,0,105,99,243,138,56,35,,
95,Alamance,7/5/2021,0,0,127,120,260,188,47,38,,
96,Alamance,6/28/2021,0,0,158,104,236,192,72,40,,
97,Alamance,6/21/2021,0,0,158,130,373,270,83,46,,0
98,Alamance,6/14/2021,0,0,394,217,549,338,119,61,,
99,Alamance,6/7/2021,0,0,627,283,615,417,147,77,,
100,Alamance,5/31/2021,0,0,246,160,470,350,137,66,,
101,Alamance,5/24/2021,0,0,5,160,468,376,150,76,,0
102,Alamance,5/17/2021,0,0,5,262,661,532,158,103,,
103,Alamance,5/10/2021,0,0,0,354,806,610,185,81,,0
104,Alamance,5/3/2021,0,0,0,530,"1,107","1,088",312,137,,
105,Alamance,4/26/2021,0,0,0,574,"1,512","1,548",477,204,,0
106,Alamance,4/19/2021,0,0,0,612,"1,971","2,115",610,206,,1
107,Alamance,4/12/2021,0,0,0,"1,049","2,685","2,797",812,229,,2
108,Alamance,4/5/2021,0,0,0,"1,253","2,863","2,730",780,268,,6
109,Alamance,3/29/2021,0,0,0,688,"1,628","1,404",497,240,,2
110,Alamance,3/22/2021,0,0,0,143,"1,263","1,174","1,193",779,,0
111,Alamance,3/15/2021,0,0,0,32,486,550,"1,149",692,,0
112,Alamance,3/8/2021,0,0,0,81,621,609,"2,110","1,166",,0
113,Alamance,3/1/2021,0,0,0,18,310,322,"1,752",909,,0
114,Alamance,2/22/2021,0,0,0,21,251,234,685,"1,096",,
115,Alamance,2/15/2021,0,0,0,24,323,252,520,"1,434",,1
116,Alamance,2/8/2021,0,0,0,37,542,508,695,"2,447",,1
117,Alamance,2/1/2021,0,0,0,23,376,332,158,"1,013",,
118,Alamance,1/25/2021,0,0,0,27,610,495,232,"1,168",,2
119,Alamance,1/18/2021,0,0,0,6,243,220,39,3,,0
120,Alamance,1/11/2021,0,0,0,5,307,218,50,3,,
121,Alamance,1/4/2021,0,0,0,1,91,38,4,0,,
122,Alamance,12/28/2020,0,0,0,0,0,0,0,0,,0
123,Alamance,12/21/2020,0,0,0,0,0,0,0,0,,
124,Alamance,12/14/2020,0,0,0,0,0,0,0,0,,
125,Alexander,4/24/2023,0,0,0,0,0,0,0,0,,
126,Alexander,4/17/2023,0,0,0,0,0,0,0,0,1,
127,Alexander,4/10/2023,0,0,0,0,0,0,0,0,2,
128,Alexander,4/3/2023,0,0,0,0,0,0,0,0,2,
129,Alexander,3/27/2023,0,0,0,0,0,0,0,0,2,
130,Alexander,3/20/2023,0,0,0,0,0,0,0,0,2,
131,Alexander,3/13/2023,0,0,0,0,0,0,0,0,1,
132,Alexander,3/6/2023,0,0,0,0,0,0,0,0,,
133,Alexander,2/27/2023,0,0,0,0,0,0,0,0,2,
134,Alexander,2/20/2023,1,0,0,1,1,0,0,0,,
135,Alexander,2/13/2023,0,0,0,0,0,0,0,0,,
136,Alexander,2/6/2023,0,0,0,0,0,0,0,0,2,
137,Alexander,1/30/2023,0,0,0,0,0,0,0,0,,
138,Alexander,1/23/2023,0,0,0,0,0,0,0,0,2,
139,Alexander,1/16/2023,0,0,0,0,3,1,0,0,,
140,Alexander,1/9/2023,1,0,0,0,0,0,1,1,,
141,Alexander,1/2/2023,0,0,2,0,1,0,0,0,,
142,Alexander,12/26/2022,0,0,0,0,0,0,0,0,2,
143,Alexander,12/19/2022,0,0,0,0,0,0,0,0,1,
144,Alexander,12/12/2022,0,0,0,2,2,0,1,0,,
145,Alexander,12/5/2022,0,0,0,0,0,0,0,0,2,
146,Alexander,11/28/2022,0,0,0,0,0,0,0,0,1,
147,Alexander,11/21/2022,0,0,0,0,0,0,0,0,,
148,Alexander,11/14/2022,0,1,0,2,1,1,0,0,,
149,Alexander,11/7/2022,1,0,0,0,2,0,0,0,,
150,Alexander,10/31/2022,0,0,0,0,0,0,0,0,1,
151,Alexander,10/24/2022,0,0,0,0,0,0,0,0,1,
152,Alexander,10/17/2022,1,0,0,0,1,0,0,1,,
153,Alexander,10/10/2022,0,0,0,0,0,0,0,0,2,
154,Alexander,10/3/2022,0,0,0,0,0,0,0,0,2,
155,Alexander,9/26/2022,1,0,0,1,1,1,0,0,,
156,Alexander,9/19/2022,0,0,0,0,0,0,0,0,2,
157,Alexander,9/12/2022,3,1,0,0,0,0,0,0,,
158,Alexander,9/5/2022,0,0,0,0,0,0,0,0,2,
159,Alexander,8/29/2022,0,0,1,2,2,0,0,0,,
160,Alexander,8/22/2022,0,2,0,1,0,1,0,0,,
161,Alexander,8/15/2022,0,0,0,0,3,0,0,0,,
162,Alexander,8/8/2022,0,0,0,1,5,0,0,0,,
163,Alexander,8/1/2022,0,4,0,0,0,0,0,1,,
164,Alexander,7/25/2022,0,3,3,2,3,1,1,0,,
