Index,County,date,other,other,black,white,other,missing,Suppressed
1,Alamance,4/24/2023,0,0,0,0,0,,
2,Alamance,4/17/2023,0,0,0,3,0,0,
3,Alamance,4/10/2023,0,1,6,5,2,0,
4,Alamance,4/3/2023,0,0,2,2,4,2,
5,Alamance,3/27/2023,0,0,2,4,1,2,
6,Alamance,3/20/2023,0,1,5,5,1,2,
7,Alamance,3/13/2023,0,1,2,11,2,2,
8,Alamance,3/6/2023,0,0,5,7,2,1,
9,Alamance,2/27/2023,0,0,4,6,0,5,
10,Alamance,2/20/2023,0,0,7,5,4,3,
11,Alamance,2/13/2023,0,0,1,4,3,4,
12,Alamance,2/6/2023,0,0,4,3,2,6,
13,Alamance,1/30/2023,0,0,1,11,4,1,
14,Alamance,1/23/2023,0,2,1,11,0,2,
15,Alamance,1/16/2023,0,0,4,8,4,2,
16,Alamance,1/9/2023,0,2,15,8,2,7,
17,Alamance,1/2/2023,1,1,11,14,1,7,
18,Alamance,12/26/2022,0,1,4,8,1,2,
19,Alamance,12/19/2022,0,0,8,6,1,1,
20,Alamance,12/12/2022,0,0,8,10,6,5,
21,Alamance,12/5/2022,0,0,5,10,5,4,
22,Alamance,11/28/2022,0,1,16,12,9,4,
23,Alamance,11/21/2022,0,0,2,14,3,4,
24,Alamance,11/14/2022,0,0,14,19,10,4,
25,Alamance,11/7/2022,0,1,11,15,3,2,
26,Alamance,10/31/2022,1,1,18,21,9,2,
27,Alamance,10/24/2022,1,1,11,24,9,2,
28,Alamance,10/17/2022,0,0,12,16,3,5,
29,Alamance,10/10/2022,0,4,9,16,10,3,
30,Alamance,10/3/2022,1,1,9,12,7,7,
31,Alamance,9/26/2022,0,2,18,23,6,9,
32,Alamance,9/19/2022,0,1,16,29,10,3,
33,Alamance,9/12/2022,0,2,15,22,4,8,
34,Alamance,9/5/2022,0,4,13,22,7,6,
35,Alamance,8/29/2022,0,5,17,23,10,5,
36,Alamance,8/22/2022,1,3,24,43,11,8,
37,Alamance,8/15/2022,1,0,23,39,16,5,
38,Alamance,8/8/2022,1,1,22,43,18,10,
39,Alamance,8/1/2022,0,2,42,44,8,14,
40,Alamance,7/25/2022,1,4,27,59,18,10,
41,Alamance,7/18/2022,0,6,36,55,16,14,
42,Alamance,7/11/2022,0,3,20,54,14,8,
43,Alamance,7/4/2022,1,3,30,54,11,11,
44,Alamance,6/27/2022,0,3,29,47,18,7,
45,Alamance,6/20/2022,0,1,22,56,16,5,
46,Alamance,6/13/2022,2,3,25,19,9,3,
47,Alamance,6/6/2022,0,0,25,20,11,4,
48,Alamance,5/30/2022,1,0,18,21,5,5,
49,Alamance,5/23/2022,2,0,26,32,11,3,
50,Alamance,5/16/2022,0,0,25,29,9,4,
51,Alamance,5/9/2022,0,2,22,16,16,3,
52,Alamance,5/2/2022,0,0,17,29,7,1,
53,Alamance,4/25/2022,0,1,24,32,8,0,
54,Alamance,4/18/2022,0,0,17,28,11,3,
