location,month,year,demographic,value 
ca_bayarea,7,2020,White,0.01
ca_bayarea,7,2020,Latino,0.009
ca_bayarea,7,2020,Asian,0.008
ca_bayarea,7,2020,Overall,0.014
ca_bayarea,8,2020,White,0.008
ca_bayarea,8,2020,Latino,0.039
ca_bayarea,8,2020,Asian,0.004
ca_bayarea,8,2020,Overall,0.018
ca_bayarea,9,2020,White,0.003
ca_bayarea,9,2020,Latino,0.04
ca_bayarea,9,2020,Asian,0.003
ca_bayarea,9,2020,Overall,0.014
ca_bayarea,10,2020,White,0.015
ca_bayarea,10,2020,Latino,0.046
ca_bayarea,10,2020,Asian,0
ca_bayarea,10,2020,Overall,0.018
ca_bayarea,11,2020,White,0.025
ca_bayarea,11,2020,Latino,0.042
ca_bayarea,11,2020,Asian,0.02
ca_bayarea,11,2020,Overall,0.031
ca_bayarea,12,2020,White,0.027
ca_bayarea,12,2020,Latino,0.042
ca_bayarea,12,2020,Asian,0.021
ca_bayarea,12,2020,Overall,0.029
ca_bayarea,1,2021,White,0.069
ca_bayarea,1,2021,Latino,0.073
ca_bayarea,1,2021,Asian,0.072
ca_bayarea,1,2021,Overall,0.074
ca_bayarea,2,2021,White,0.208
ca_bayarea,2,2021,Latino,0.261
ca_bayarea,2,2021,Asian,0.223
ca_bayarea,2,2021,Overall,0.222
ca_bayarea,3,2021,White,0.473
ca_bayarea,3,2021,Latino,0.304
ca_bayarea,3,2021,Asian,0.357
ca_bayarea,3,2021,Overall,0.404
ca_bayarea,4,2021,White,0.77
ca_bayarea,4,2021,Latino,0.68
ca_bayarea,4,2021,Asian,0.741
ca_bayarea,4,2021,Overall,0.738
ca_sacramento,7,2020,White,0.009
ca_sacramento,7,2020,Latino,0.01
ca_sacramento,7,2020,Asian,0.035
ca_sacramento,7,2020,Other,0
ca_sacramento,7,2020,Overall,0.011
ca_sacramento,8,2020,White,0.013
ca_sacramento,8,2020,Latino,0.039
ca_sacramento,8,2020,Asian,0.01
ca_sacramento,8,2020,Other,NA
ca_sacramento,8,2020,Overall,0.017
ca_sacramento,9,2020,White,0.022
ca_sacramento,9,2020,Latino,0.034
ca_sacramento,9,2020,Asian,0.019
ca_sacramento,9,2020,Other,NA
ca_sacramento,9,2020,Overall,0.025
ca_sacramento,10,2020,White,0.032
ca_sacramento,10,2020,Latino,0.053
ca_sacramento,10,2020,Asian,0.011
ca_sacramento,10,2020,Other,0.02
ca_sacramento,10,2020,Overall,0.035
ca_sacramento,11,2020,White,0.024
ca_sacramento,11,2020,Latino,0.05
ca_sacramento,11,2020,Asian,0.007
ca_sacramento,11,2020,Other,NA
ca_sacramento,11,2020,Overall,0.026
ca_sacramento,12,2020,White,0.036
ca_sacramento,12,2020,Latino,0.084
ca_sacramento,12,2020,Asian,0.084
ca_sacramento,12,2020,Other,0.059
ca_sacramento,12,2020,Overall,0.052
ca_sacramento,1,2021,White,0.107
ca_sacramento,1,2021,Latino,0.202
ca_sacramento,1,2021,Asian,0.118
ca_sacramento,1,2021,Other,NA
ca_sacramento,1,2021,Overall,0.126
ca_sacramento,2,2021,White,0.267
ca_sacramento,2,2021,Latino,0.3
ca_sacramento,2,2021,Asian,0.252
ca_sacramento,2,2021,Other,NA
