"","location","date","value","race_ethnicity","target"
"1","06","2020-01-25",0,"overall","inc case"
"2","06","2020-02-01",3,"overall","inc case"
"3","06","2020-02-08",3,"overall","inc case"
"4","06","2020-02-15",2,"overall","inc case"
"5","06","2020-02-22",0,"overall","inc case"
"6","06","2020-02-29",3,"overall","inc case"
"7","06","2020-03-07",81,"overall","inc case"
"8","06","2020-03-14",241,"overall","inc case"
"9","06","2020-03-21",1061,"overall","inc case"
"10","06","2020-03-28",6118,"overall","inc case"
"11","06","2020-04-04",5320,"overall","inc case"
"12","06","2020-04-11",8627,"overall","inc case"
"13","06","2020-04-18",9181,"overall","inc case"
"14","06","2020-04-25",11790,"overall","inc case"
"15","06","2020-05-02",11451,"overall","inc case"
"16","06","2020-05-09",13378,"overall","inc case"
"17","06","2020-05-16",12208,"overall","inc case"
"18","06","2020-05-23",14077,"overall","inc case"
"19","06","2020-05-30",17986,"overall","inc case"
"20","06","2020-06-06",18378,"overall","inc case"
"21","06","2020-06-13",20765,"overall","inc case"
"22","06","2020-06-20",26769,"overall","inc case"
"23","06","2020-06-27",39932,"overall","inc case"
"24","06","2020-07-04",49494,"overall","inc case"
"25","06","2020-07-11",61250,"overall","inc case"
"26","06","2020-07-18",62557,"overall","inc case"
"27","06","2020-07-25",66880,"overall","inc case"
"28","06","2020-08-01",57986,"overall","inc case"
"29","06","2020-08-08",46413,"overall","inc case"
"30","06","2020-08-15",65502,"overall","inc case"
"31","06","2020-08-22",41872,"overall","inc case"
"32","06","2020-08-29",36280,"overall","inc case"
"33","06","2020-09-05",32449,"overall","inc case"
"34","06","2020-09-12",23025,"overall","inc case"
"35","06","2020-09-19",24011,"overall","inc case"
"36","06","2020-09-26",24654,"overall","inc case"
"37","06","2020-10-03",23631,"overall","inc case"
"38","06","2020-10-10",23439,"overall","inc case"
"39","06","2020-10-17",21876,"overall","inc case"
"40","06","2020-10-24",31733,"overall","inc case"
"41","06","2020-10-31",29834,"overall","inc case"
"42","06","2020-11-07",41873,"overall","inc case"
"43","06","2020-11-14",57118,"overall","inc case"
"44","06","2020-11-21",89098,"overall","inc case"
"45","06","2020-11-28",101640,"overall","inc case"
"46","06","2020-12-05",155691,"overall","inc case"
"47","06","2020-12-12",225121,"overall","inc case"
"48","06","2020-12-19",310548,"overall","inc case"
"49","06","2020-12-26",277574,"overall","inc case"
"50","06","2021-01-02",282372,"overall","inc case"
"51","06","2021-01-09",295678,"overall","inc case"
"52","06","2021-01-16",278911,"overall","inc case"
"53","06","2021-01-23",172340,"overall","inc case"
"54","06","2021-01-30",139182,"overall","inc case"
"55","06","2021-02-06",98940,"overall","inc case"
"56","06","2021-02-13",70839,"overall","inc case"
"57","06","2021-02-20",46798,"overall","inc case"
"58","06","2021-02-27",38740,"overall","inc case"
"59","06","2021-03-06",31349,"overall","inc case"
"60","06","2021-03-13",24392,"overall","inc case"
